date,rank,code,name,close,change_pct,value_traded
2026-06-18,5,6920,レーザーテク,56410.0,7.04,426200000000
2026-06-18,6,8035,東エレク,76460.0,5.26,397700000000
2026-06-18,7,1570,日経レバ,82200.0,3.33,352700000000
2026-06-18,8,4062,イビデン,25715.0,7.15,284600000000
2026-06-18,9,6857,アドテスト,30270.0,0.7,207800000000
2026-06-18,10,5803,フジクラ,4554.0,-3.7,199300000000
2026-06-18,11,6146,ディスコ,84450.0,0.9,156700000000
2026-06-18,12,8306,三菱ＵＦＪ,3384.0,3.42,145900000000
2026-06-18,13,5016,ＪＸ金属,4370.0,0.09,127400000000
2026-06-18,14,5801,古河電,46450.0,-2.09,122600000000
2026-06-18,15,7011,三菱重,3974.0,2.95,112600000000
2026-06-18,16,5706,三井金属,47950.0,0.74,90300000000
2026-06-18,17,8316,三井住友ＦＧ,6727.0,4.29,85000000000
2026-06-18,18,8411,みずほＦＧ,8278.0,3.4,81800000000
2026-06-18,19,7203,トヨタ,2796.0,-0.52,61800000000
2026-06-18,20,7735,スクリン,16435.0,7.28,61000000000
2026-06-18,21,6525,コクサイエレ,9750.0,1.97,54200000000
2026-06-18,22,2802,味の素,5807.0,8.75,54000000000
2026-06-18,23,5802,住友電,12225.0,-0.61,53000000000
2026-06-18,24,7974,任天堂,7150.0,-1.72,52100000000
2026-06-18,25,6723,ルネサス,4600.0,2.75,50200000000
2026-06-18,26,7013,ＩＨＩ,2870.0,-1.59,49900000000
2026-06-18,27,3110,日東紡,19240.0,-9.12,49800000000
2026-06-18,28,9983,ファストリ,84010.0,1.34,49000000000
2026-06-18,29,4004,レゾナック,18470.0,-0.27,48800000000
2026-06-18,30,3436,ＳＵＭＣＯ,4328.0,4.24,48400000000
2026-06-18,31,6752,パナＨＤ,4289.0,2.12,47400000000
2026-06-18,32,6501,日立,4802.0,2.15,47200000000
2026-06-18,33,6762,ＴＤＫ,3874.0,1.15,45700000000
2026-06-18,34,6098,リクルート,11215.0,6.61,43200000000
2026-06-18,35,6758,ソニーＧ,3242.0,-1.34,42500000000
2026-06-18,36,7012,川重,3159.0,-3.28,40800000000
2026-06-18,37,1357,日経Ｄインバ,2524.0,-3.33,39400000000
2026-06-18,38,6954,ファナック,7575.0,0.8,38000000000
2026-06-18,39,4063,信越化,7456.0,-1.23,37200000000
2026-06-18,40,6526,ソシオネクス,2604.0,5.0,36800000000
2026-06-18,41,1321,野村日経平均,74430.0,1.69,35900000000
2026-06-18,42,6506,安川電,7261.0,3.05,35000000000
2026-06-18,43,200A,野村日半導,6083.0,2.08,34000000000
2026-06-18,44,6861,キーエンス,77560.0,2.59,33700000000
2026-06-18,45,7220,武蔵精密,4460.0,-17.56,31800000000
2026-06-18,46,6503,三菱電,6043.0,3.07,30600000000
2026-06-18,47,8766,東京海上,7328.0,1.05,24700000000
2026-06-18,48,9432,ＮＴＴ,147.0,0.14,24100000000
2026-06-18,49,8058,三菱商,4586.0,-0.52,23400000000
2026-06-18,50,7741,ＨＯＹＡ,28565.0,3.42,23100000000
2026-06-19,1,285A,キオクシア,108600.0,12.07,3607700000000
2026-06-19,2,9984,ＳＢＧ,7111.0,-1.08,578400000000
2026-06-19,3,6981,村田製,11750.0,0.04,560700000000
2026-06-19,4,6976,太陽誘電,19315.0,-2.74,461300000000
2026-06-19,5,8035,東エレク,75360.0,-0.95,460900000000
2026-06-19,6,1570,日経レバ,82660.0,0.56,331300000000
2026-06-19,7,6857,アドテスト,31740.0,4.75,311900000000
2026-06-19,8,6920,レーザーテク,55100.0,-2.39,299000000000
2026-06-19,9,4062,イビデン,24560.0,-4.49,285500000000
2026-06-19,10,5016,ＪＸ金属,4747.0,8.63,260500000000
2026-06-19,11,6146,ディスコ,84900.0,-0.11,178400000000
2026-06-19,12,5802,住友電,13485.0,10.53,176500000000
